slice_on,category,sample_size,precision_score,recall_score,fbeta_score
education,Some-college,0.22478120681713495,0.7763578274760383,0.6603260869565217,0.7136563876651982
education,HS-grad,0.3170581913096883,0.7630331753554502,0.6276803118908382,0.6887700534759358
education,Bachelors,0.160908951328113,0.7252252252252253,0.62890625,0.6736401673640168
education,Masters,0.055734684477199446,0.75,0.5806451612903226,0.6545454545454547
education,Doctorate,0.012283126055581146,0.8823529411764706,0.6,0.7142857142857143
education,12th,0.01427913403961308,0.6875,0.5,0.5789473684210527
education,Prof-school,0.01949946261323507,0.6923076923076923,0.6428571428571429,0.6666666666666666
education,11th,0.03531398740979579,0.6976744186046512,0.5,0.5825242718446603
education,7th-8th,0.019806540764624597,0.5925925925925926,0.5714285714285714,0.5818181818181818
education,5th-6th,0.011976047904191617,0.7647058823529411,0.6842105263157895,0.7222222222222222
education,Assoc-voc,0.043144480270228776,0.7407407407407407,0.5194805194805194,0.6106870229007634
education,10th,0.027176416397973285,0.71875,0.5897435897435898,0.6478873239436619
education,Assoc-acdm,0.03408567480423768,0.7105263157894737,0.5192307692307693,0.6
education,9th,0.015353907569476431,0.6470588235294118,0.6470588235294118,0.6470588235294118
education,1st-4th,0.007062797481959158,0.8,0.5714285714285714,0.6666666666666666
education,Preschool,0.0015353907569476432,1.0,0.3333333333333333,0.5
